Categorie,Naam,Beschrijving
Outdoor jassen,MGO Leisure Wear Bradford Wax Parka Outdoorjas Heren - Maat L,"Deze waxjas is een van onze bestsellers. Hij valt ruim waardoor u er met gemak nog een warme trui of bodywarmer onder kunt dragen. (neem bij twijfel een maat kleiner of check onze maattabel) Deze waxjas is voorzien van een binnenzak, windstoppers en een afneembare capuchon d.m.v. drukknopen. Hij is winddicht, waterafstotend en warm gevoerd. Verkrijgbaar in zwart, groen en donkerblauw. Een waxjas heeft af en toe een klein onderhoud nodig op de plekken waar de jas het meeste wrijving heeft of het meest te verduren heeft van de zon. Hiervoor is er bij ons MGO waxspray verkrijgbaar. Bij een goede verzorging kunt u vele jaren plezier hebben van deze waxjas. Tip! Laat hem altijd goed drogen maar uit de buurt van de verwarming. Buitenkant: 100% gewaxt katoen Voering: 100% geruit katoenBinnenzak met ritsAfneembare capuchonWind vangers in de mouwenGemaakt in EngelandVulling: zacht polyester2 insteekzakken2 opzetzakken"
Outdoor jassen,Kjelvik Toos Softshelljas Dames - Maat 44,"Softshell jas Toos is een winddichte en waterafstotende jas voor dames. De stof van deze half lange jas is deels voorzien een honinggraad patroon. De jas heeft een afneembare capuchon, twee steekzakken en verstelbare manchetten."
Outdoor jassen,The North Face Quest Outdoorjas Heren - Maat L,The North Face Quest Outdoorjas Heren
Outdoor jassen,BJØRNSON Signe Softshell Winterjas Parka Dames - Teddy - Maat 44 - Tapenade,"Let op! Deze jas valt klein, bestel een maat groter.      * Waterafstotend en winddicht* Warme teddy voering* Extra lang met tweeweg rits* Rits afsluitbare zakken* Verstelbare en afneembare capuchon    De parka winterjas Signe van BJ�RNSON is warm, waterafstotend en winddicht.    De Signe is voorzien van een warme teddy voering in de body en mouwen en in de afneembare capuchon. Een hoge kraag en de verstelbare capuchon zorgen dat de winterjas ook van boven winddicht afsluit. De softshell jas is bewegingsvrij vanwege de stretchstof (polyester met spandex). De rits van de parka jas loopt niet helemaal tot onder, waardoor er een split ontstaat. Hierdoor kunt u vrijer bewegen en ook gemakkelijker fietsen! De Signe heeft twee heupzakken welke met een rits afsluitbaar zijn."
Outdoor jassen,Mountain Peak dames softshell jas zwart - Maat XXL - Winddicht - Ademend materiaal,"Zwarte softshell jas uit de Mountain Peak collectie. Voorzien van een een waterdichte ritssluiting met windstopper en een vaste capuchon met aansnoerkoordjes. De jas heeft twee zakken met ritsen en verstelbare boorden. De softshell jas is winddicht, ademend, warmte regulerend en waterafstotend. Gemaakt van 95% polyester en 5% elastaan met een waterkolom van 3000 MM."
Outdoor jassen,Nordberg Ronda - Softshell Outdoor Zomerjas Dames - Navy/Donkerblauw Melange  - Maat 3XL,"✅ Nordberg Zomerjas Ronda voor Dames✅ Maat 3XL✅ Kleur Navy/Donkerblauw Melange ✅ Windproof en Waterafstotend Een jas van Nordberg is de ideale jas voor al je outdoor activiteiten. Hij is ideaal en heerlijk comfortabel tijdens het sporten, wandelen, fietsen, paardrijden of om alleen maar even snel een boodschap te halen of de hond uit te laten. Een Nordberg jas beschermt je tegen de slechtere weersomstandigheden gedurende de lente en zomerperiode.  De jas is waterafstotend, winddicht en heeft een groot ademend vermogen. Het 4-way stretchmateriaal zorgt ervoor dat je jas lekker zit en dat je vrij kan bewegen. De zachte voering aan de binnenzijde zorgt voor warmte en draagcomfort. Daarnaast zijn er voldoende zakken en binnenzakken die dichtgeritst kunnen worden om zo je spullen niet kwijt te raken.  Extra specificaties: 3-laags met 4-way stretchmateriaalAdemendWindproofLichtgewichtWaterafstotend"
Outdoor jassen,Regatta Regatta Cera V Outdoorjas - Maat S  - Mannen - donker grijs,Specificaties: Pasvorm: regular fit/ aantrekkoord in de zoom/ stretchmateriaal Waterdichtheid: duurzaam waterafstotende finish/ geen getapete naden Temperatuurregeling: warme fleece voering/ winddicht Zakken: twee zakken met ritssluiting Manchetten: rechte boorden aan de mouwen/ aantrekkoord in de zoom Kleur: donker grijs Materiaal: 96% polyester - 4% elastaan
Outdoor jassen,Kjelvik Merel Softshelljas Dames - Maat 40,"Kjelvik softshell jas Merel is een ademende en waterafstotende jas voor dames. Deze sportieve jas is gemaakt van een soepele 4-way stretch softshell kwaliteit met een polarfleece binnenzijde. De jas heeft een afneembare capuchon, twee steekzakken met ritssluiting en verstelbare manchetten."
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Navy - Blauw - Maat S,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: navy blauw"
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Grijs - Grijs - Maat M,"Cappuccino Italia Softshell Hood Jacket voor heren. De Softshell Hood Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.Merk: Cappuccino ItaliaModelnaam: Softshell Hood JacketCategorie: heren Softshell Hood JacketMaterialen: polyester, elastaanKleur: grijs"
Outdoor jassen,The North Face W FORNET SOFTSHELL Outdoorjas Vrouwen - Maat L,"Trek onze Fornet Softshell-jas aan en je kunt de kou vergeten op je wandeltocht. FlashDry™-materiaal is ontworpen om vocht van je huid af te voeren, zodat je droog, koel en comfortabel blijft."
Outdoor jassen,Kjelvik Toos Softshelljas Dames - Maat 44,"Softshell jas Toos is een winddichte en waterafstotende jas voor dames. De stof van deze half lange jas is deels voorzien een honinggraad patroon. De jas heeft een afneembare capuchon, twee steekzakken en verstelbare manchetten."
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Royal - Blauw - Maat S,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: Royal blauw"
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Navy - Blauw - Maat M,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: navy blauw"
Outdoor jassen,Kjelvik heren jas waterafstotend Adam - Antra- Maat S - Winddicht - Ademend materiaal,Blauwe softshell jas voor heren uit de Kjelvik collectie. Voorzien van een ritssluiting en een opstaande kraag. De outdoor jas heeft twee zakken met ritsen en een borstzakje. Voorzien van elastische boorden en een warme polarfleece voering. Vervaardigd van ademend en waterafstotend soft-touch materiaal. De softshell jas van Kjelvik is gemaakt van 100% polyester.
Outdoor jassen,Kjelvik dames softshell voorjaarsjas pink maat 42,"Deze softshell van Kjelvik is waterafstotend, heeft een afneembare capuchon en is gemaakt van een ademende en rekbare stof."
Outdoor jassen,MGO Leisure Wear British Wax Parka Outdoorjas Heren - Maat M,Deze stevige stoere waxjas is gewatteerd en gevoerd met een traditionele Engelse ruitvoering.Hij isvoorzien van een binnenzak met rits en in de mouwen zitten windstoppers. Gemaakt in onze fabriekin de UK.Buitenkant: 100% gewaxtkatoen;Voering: 100% geruit katoenVulling: zacht polyester2 steekzakken;2 opzetzakken;Binnenzak met rits;Windvangers in de mouwen
Outdoor jassen,Kjelvik dames softshell parka kaki - Beige - Maat XL - Winddicht - Ademend materiaal,"Kaki softshell parka voor dames van Kjelvik. Voorzien van een deelbare ritssluiting met kinbeschermer en een vaste capuchon met aantrekkoordjes. De softshell parka heeft twee zakken met ritsen en een halve rits aan de achterzijde voor extra bewegingsruimte. Vervaardigd van ademend, waterafstotend en winddicht materiaal. De lange softshell jas van Kjelvik heeft een stretch en soft touch pasvorm voor comfort en is gemaakt van 94% polyester en 6% elastaan."
Outdoor jassen,The North Face M AYUS JACKET Heren Outdoorjas - Maat M,"De Ayus-jas ziet er van buiten strak en eenvoudig uit, maar laat je niet voor de gek houden. Hij zit boordevol handige outdoor-ready functies om je warm en droog te houden op wandelavonturen. Dankzij de gesealde naden en DryVent™-materiaaltechnologie is hij ademend, waterdicht en winddicht. Hij is afgewerkt met verstelbare manchetten, een verstelbare capuchon en een intern trekkoord in de taille; draag hem op je eigen manier."
Outdoor jassen,L&S nylon jacket met capuchon unisex zwart - XL,Lemon & Soda unisex jas in de kleur zwart met witte contrast details met capuchon in de maat XL. De jas en capuchon zijn gevoerd met een jersey laag en de jas heeft twee zakken met rits en een telefoonzakje aan de binnenzijde.
Outdoor jassen,The North Face W SHELBE-LITO HOODIE - Maat L,"Trek onze Shelbe SOFTSHELL-jas aan en je kunt de kou vergeten op je wandeltocht. Naast de zachte high pile fleece aan de binnenkant, zal het FlashDry™-materiaal het vocht van je huid afvoeren, zodat je droog, koel en comfortabel blijft."
Outdoor jassen,BJØRNSON Ella Stepjack Tussenjas Dames - Winddicht - Maat 42 - Donkerblauw,"Het stepjack Ella van BJØRNSON is winddicht en waterafstotend. 
BJØRNSON ELLA Zomerjas Dames
 Voordelen 

Winddicht (nylon voering)
Waterafstotend
Bewegingsvrij
Rits afsluitbare zakken

 Stepjack tussenjas met uitstekende prijs/kwaliteitverhouding  
   Een gladde nylon voering beschermt je tegen wind. De tussenjas is voorzien van een dunne padding. De elastische aansluitende manchetten sluiten mooi aan en zorgen dat warmte binnen blijft. De polyester tussenjas draagt comfortabel en is licht van gewicht. De Ella heeft 2 heupzakken die met een rits afsluitbaar zijn.  
 Specificaties 

Materiaal: 100% Polyester 
Netto gewicht: 800 gram
Pasvorm: Recht model (regular fit)
Elastische manchetten
Winddicht
Waterafstotend
Vuilafstotend
Ademend
Afsluitbare zakken
Ritssluiting
2 Heupzakken met ritssluiting

 Wasvoorschrift 
  Apart wassen, weinig wasmiddel gebruiken en geen wasverzachter. Niet wringen en centrifugeren. Hangend drogen."
Outdoor jassen,AGU GO Regenjas Essential - Groen - XL - Dames & Heren - Waterdicht & Ademend,"Duurzaam, makkelijk mee te nemen, snel op te bergen en van goede kwaliteit. Dat is de AGU GO Regenjas. Dit is een jas om iedere bui in de baas te zijn. Dankzij het Poray 5.000 membraan ben je goed beschermd bij wisselvallig weer met af en toe een flinke bui. Regent het continu heel hard, dan adviseren wij een AGU regenpak met hoger Poray nummer. Voor de gehele GO-lijn geldt het Mix & Match principe, waarbij je jas en broek ongeacht kleur of maat kunt combineren en er is een GO regenpak te koop.   Gemakkelijk opbergen en snel mee te nemen in het handige, meegeleverde GO zakje waarin de regenjas perfect past.  De stof van de regenjas is uitgeruist met het Poray 5.000 membraan. Dit membraan houdt regen buiten dankzij microscopisch kleine poriën, terwijl transpiratie wel kan optsnappen. Hoe hoger het Poray nummer, hoe hoger de bescherming. Dankzij het Poray 5.000 membraan is deze regenjas ademend. Hoe hoger het Poray nummer, hoe beter het ademende vermogen. Volledig getapete naden voorkomen dat water via de naden van de regenjas naar binnen komt. Door het gebruik van 100% gerecycled Polyester is deze regenjas een duurzame keuze die bijdraagt aan een beter milieu. Deze regenjas is verkrijgbaar in zeven verschillende kleuren. Veiligheid gaat boven alles, dankzij de reflecterende details ben je ook op de donkerste dagen goed zichtbaar in het verkeer. Deze regenjas is ook als set te koop met de bijpassende AGU GO regenbroek.   Een super regenjas met handig zakje waarin je alles snel meeneemt en goed opbergt. Onmisbaar in iedere kledingkast!"
Outdoor jassen,MGO Heren Wax Jacket Boris - Waterafstotende zomer outdoor jas - Olijfgroen - Maat XL,"Nieuw in onze collectie! Onze eerste herenwaxjas zonder padding. Deze all season jas valt ruim genoeg om er nog een warme trui, vest of hoody onder te dragen. De speciale raglan mouwinzet zorgt voor een uitstekend draagcomfort en ruimte bij de schouders. De jas valt net over de heup. De jas is bij de mouwomslag en de kraag met contrasterend rib afgewerkt wat deze waxjas tot een uniek en stoer model maakt. Deze prachtige jas is verkrijgbaar in groen, bruin en blauw. 
 Een waxjas heeft af en toe een klein onderhoud nodig op de plekken waar de jas het meeste wrijving heeft of het meest te verduren heeft van de zon. Hiervoor is er bij ons MGO waxspray verkrijgbaar. U kunt vele jaren plezier hebben van deze jas. Tip! Laat hem altijd goed drogen, maar uit de buurt van de verwarming. 

Buitenkant: 100% gewaxt katoen
Voering: 100% geruit katoen
2 insteekzakken
2 opzet zakken
Verkrijgbaar in blauw, groen en bruin
Verkrijgbaar in maat M t/m 3XL
Gemaakt in UK"
Outdoor jassen,The North Face W SHELBE-LITO HOODIE - Maat M,"Trek onze Shelbe SOFTSHELL-jas aan en je kunt de kou vergeten op je wandeltocht. Naast de zachte high pile fleece aan de binnenkant, zal het FlashDry™-materiaal het vocht van je huid afvoeren, zodat je droog, koel en comfortabel blijft."
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Hood Jacket Black - Zwart - Maat XL,"Cappuccino Italia Softshell Hood Jacket voor heren. De Softshell Hood Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Hood Jacket  Categorie: heren Softshell Hood Jacket  Materialen: polyester, elastaan  Kleur: zwart"
Outdoor jassen,Cappuccino Italia - Heren Outdoorjas Softshell Zip Jacket Grijs - Grijs - Maat S,"Cappuccino Italia Softshell Zip Jacket voor heren. De Softshell Zip Jacket is gemaakt van polyester en elastaan, en heeft een normale pasvorm.  Merk: Cappuccino Italia  Modelnaam: Softshell Zip Jacket  Categorie: heren Softshell Zip Jacket  Materialen: polyester, elastaan  Kleur: grijs"
Outdoor jassen,Kjelvik Toos Softshelljas Dames - Maat 46,"Softshell jas Toos is een winddichte en waterafstotende jas voor dames. De stof van deze half lange jas is deels voorzien een honinggraad patroon. De jas heeft een afneembare capuchon, twee steekzakken en verstelbare manchetten."
Outdoor jassen,Kjelvik Sjors Softshelljas Heren - Maat 3XL,"Softshell jas Sjors is gemaakt van een winddichte en waterafstotende softshell kwaliteit met een mesh binnenzijde. De jas heeft een vaste capuchon, twee steekzakken met ritssluiting en verstelbare manchetten."
Outdoor jassen,Kjelvik Kevan Softshelljas Heren - Maat 5XL,"Kjelvik softshell jas Kevan is een comfortabele outdoorjas die gemaakt is van een soepele 4-way stretch softshell kwaliteit met een polarfleece binnenzijde. De jas heeft een afneembare capuchon, een borstzak en twee steekzakken met ritssluiting."
Outdoor jassen,The North Face Quest Outdoorjas Heren - Maat XXL,The North Face Quest Outdoorjas Heren
Outdoor jassen,Nordberg Ronda - Softshell Outdoor Zomerjas Dames - Roze Melange - Maat M,"✅ Nordberg Zomerjas Ronda voor Dames✅ Maat M✅ Kleur Roze Melange✅ Windproof en Waterafstotend
 Een jas van Nordberg is de ideale jas voor al je outdoor activiteiten. Hij is ideaal en heerlijk comfortabel tijdens het sporten, wandelen, fietsen, paardrijden of om alleen maar even snel een boodschap te halen of de hond uit te laten. Een Nordberg jas beschermt je tegen de slechtere weersomstandigheden gedurende de lente en zomerperiode. 
 De jas is waterafstotend, winddicht en heeft een groot ademend vermogen. Het 4-way stretchmateriaal zorgt ervoor dat je jas lekker zit en dat je vrij kan bewegen. De zachte voering aan de binnenzijde zorgt voor warmte en draagcomfort. Daarnaast zijn er voldoende zakken en binnenzakken die dichtgeritst kunnen worden om zo je spullen niet kwijt te raken. 
 Extra specificaties: 

3-laags met 4-way stretchmateriaal
Ademend
Windproof
Lichtgewicht
Waterafstotend"
Outdoor jassen,Kjelvik Toos Softshelljas Dames - Maat 40,"Softshell jas Toos is een winddichte en waterafstotende jas voor dames. De stof van deze half lange jas is deels voorzien een honinggraad patroon. De jas heeft een afneembare capuchon, twee steekzakken en verstelbare manchetten."
Outdoor jassen,L&S nylon jacket met capuchon unisex wit - XL,Lemon & Soda unisex jas in de kleur wit met zwarte contrast details met capuchon in de maat XL. De jas en capuchon zijn gevoerd met een jersey laag en de jas heeft twee zakken met rits en een telefoonzakje aan de binnenzijde.
Outdoor jassen,MGO Heren Wax Jacket Boris - Waterafstotende zomer outdoor jas - Navy blauw - Maat 3XL,"Nieuw in onze collectie! Onze eerste herenwaxjas zonder padding. Deze all season jas valt ruim genoeg om er nog een warme trui, vest of hoody onder te dragen. De speciale raglan mouwinzet zorgt voor een uitstekend draagcomfort en ruimte bij de schouders. De jas valt net over de heup. De jas is bij de mouwomslag en de kraag met contrasterend rib afgewerkt wat deze waxjas tot een uniek en stoer model maakt. Deze prachtige jas is verkrijgbaar in groen, bruin en blauw. 
 Een waxjas heeft af en toe een klein onderhoud nodig op de plekken waar de jas het meeste wrijving heeft of het meest te verduren heeft van de zon. Hiervoor is er bij ons MGO waxspray verkrijgbaar. U kunt vele jaren plezier hebben van deze jas. Tip! Laat hem altijd goed drogen, maar uit de buurt van de verwarming. 

Buitenkant: 100% gewaxt katoen
Voering: 100% geruit katoen
2 insteekzakken
2 opzet zakken
Verkrijgbaar in blauw, groen en bruin
Verkrijgbaar in maat M t/m 3XL
Gemaakt in UK"
Outdoor jassen,MGO Abby dames waxjas extra lang - Wind en Waterdicht - Donkergroen - Maat XL,"Deze mooie, lange waxjas is een echte topper. Houd u van de bescherming tegen alle weersinvloeden, maar ook van een jas waar je in gezien mag worden? Dan is dit de geschikte jas. Doordat de jas gewaxt is, houdt ze de wind en regen buiten. De lengte maakt het een extra praktische jas voor bescherming. Door het lange, gevoerde split middenachter hebt u ruime bewegingsvrijheid. Ze is voorzien van een binnenzak met rits, opgezette zakken en extra bescherming langs de hals door middel van een nek beschermer. Een waxjas heeft af en toe een klein onderhoud nodig op de plekken waar de jas het meeste wrijving heeft of het meest te verduren heeft van de zon. Hiervoor is er bij ons MGO waxspray verkrijgbaar. U kunt vele jaren plezier hebben van deze jas. Tip! Laat hem altijd goed drogen, maar uit de buurt van de verwarming.• Buitenkant: 100% gewaxt katoen• Voering: 100% geruit katoen• Binnenzak met rits• Gemaakt in Engeland • 2 opzetzakken• Lang split middenachter• Nek beschermer"
Outdoor jassen,Kjelvik Merel Softshelljas Dames - Maat 42,"Kjelvik softshell jas Merel is een ademende en waterafstotende jas voor dames. Deze sportieve jas is gemaakt van een soepele 4-way stretch softshell kwaliteit met een polarfleece binnenzijde. De jas heeft een afneembare capuchon, twee steekzakken met ritssluiting en verstelbare manchetten."
